"Type","Ticker","Contracts","Direction","Average_Price","Realized_Revenue","Realized_Cost","Realized_Profit","Fees","Created"
"settlement","KXGRAMBRA-67-ABNH","30","Yes","50","$30.00","$15.28","+$14.72","0.00","Feb 2, 2025 at 9:50pm EST"
"settlement","KXGRAMBNA-67-CR","29","Yes","66","$29.00","$19.14","+$9.86","0.00","Feb 2, 2025 at 10:40pm EST"
"trade","KXGRAMAOTY-67-TRAFOAMP","369","Yes","1","0.00","0.00","$0.00","$0.26","Feb 2, 2025 at 11:39pm EST"
"trade","KXGRAMAOTY-67-B","100","Yes","12","0.00","0.00","$0.00","$0.74","Feb 2, 2025 at 11:39pm EST"
"settlement","KXGRAMSOTY-67-GLB","400","Yes","6","0.00","$24.00","-$24.00","0.00","Feb 3, 2025 at 12:34am EST"
"settlement","KXGRAMAOTY-67-B","100","Yes","12","0.00","$12.00","-$12.00","0.00","Feb 3, 2025 at 12:52am EST"
"settlement","KXGRAMAOTY-67-TRAFOAMP","369","Yes","1","0.00","$3.69","-$3.69","0.00","Feb 3, 2025 at 12:52am EST"
"trade","KXTIME-25-EM","7","No","74","$7.00","$6.72","+$0.28","0.00","Feb 3, 2025 at 2:48pm EST"
"trade","KXMARMAD-25-IOST","13","No","95","0.00","0.00","$0.00","$0.05","Feb 3, 2025 at 10:33pm EST"
"trade","KXTIME-25-EM","13","No","74","$13.00","$12.48","+$0.52","0.00","Feb 4, 2025 at 10:28am EST"
"trade","KXSBSETLISTS-25-L","37","Yes","93","0.00","0.00","$0.00","$0.17","Feb 4, 2025 at 6:44pm EST"
"trade","KXSBSETLISTS-25-L","17","Yes","93","0.00","0.00","$0.00","$0.08","Feb 4, 2025 at 6:44pm EST"
"trade","KXSBSETLISTS-25-L","200","Yes","93","0.00","0.00","$0.00","$0.92","Feb 4, 2025 at 6:46pm EST"
"trade","KXSB-25-PHI","129","No","53","$129.00","$127.96","+$1.04","$1.29","Feb 4, 2025 at 6:48pm EST"
"trade","KXSBPERFORM-25-LW","3","No","84","0.00","0.00","$0.00","$0.03","Feb 5, 2025 at 2:36pm EST"
"trade","KXSBPERFORM-25-LW","61","No","84","0.00","0.00","$0.00","$0.58","Feb 5, 2025 at 2:36pm EST"
"trade","KXSBPERFORM-25-LW","20","No","84","0.00","0.00","$0.00","$0.19","Feb 5, 2025 at 2:36pm EST"
"trade","KXSBPERFORM-25-LW","6","No","85","0.00","0.00","$0.00","0.00","Feb 5, 2025 at 4:09pm EST"
"trade","KXSBPERFORM-25-LW","3","No","86","0.00","0.00","$0.00","0.00","Feb 5, 2025 at 4:18pm EST"
"trade","KXMARMAD-25-STJ","500","Yes","3","0.00","0.00","$0.00","$1.02","Feb 5, 2025 at 4:18pm EST"
"trade","KXMARMAD-25-STJ","1040","Yes","3","0.00","0.00","$0.00","$2.12","Feb 5, 2025 at 4:19pm EST"
"trade","KXSBPERFORM-25-LW","80","Yes","4","$80.00","$70.40","+$9.60","0.00","Feb 5, 2025 at 9:57pm EST"
"trade","KXSBPERFORM-25-LW","4","Yes","4","$4.00","$3.52","+$0.48","0.00","Feb 5, 2025 at 9:58pm EST"
"trade","KXSBPERFORM-25-LW","9","Yes","4","$9.00","$8.04","+$0.96","0.00","Feb 5, 2025 at 9:59pm EST"
"trade","KXSB-25-PHI","1","Yes","48","0.00","0.00","$0.00","$0.01","Feb 5, 2025 at 10:29pm EST"
"trade","KXSB-25-PHI","1","No","52","$1.00","$1.00","$0.00","$0.01","Feb 5, 2025 at 10:46pm EST"
"trade","KXSBSETLISTS-25-L","117","No","4","$117.00","$113.49","+$3.51","0.00","Feb 5, 2025 at 11:57pm EST"
"trade","KXSBSETLISTS-25-L","137","No","4","$137.00","$132.89","+$4.11","0.00","Feb 6, 2025 at 12:42am EST"
"trade","KXSBSETLISTS-25-KK","32","Yes","14","$32.00","$24.32","+$7.68","0.00","Feb 6, 2025 at 7:37pm EST"
"trade","KXSBADS-25-CB","1","Yes","33","0.00","0.00","$0.00","$0.02","Feb 6, 2025 at 9:30pm EST"
"trade","KXSBADS-25-CB","10","Yes","33","0.00","0.00","$0.00","0.00","Feb 6, 2025 at 9:37pm EST"
"trade","KXSBADS-25-CB","9","No","59","$9.00","$8.28","+$0.72","$0.16","Feb 6, 2025 at 10:46pm EST"
"trade","KXSBADS-25-CB","2","No","58","$2.00","$1.82","+$0.18","$0.04","Feb 6, 2025 at 10:46pm EST"
"trade","KXSBSETLISTS-25-H","100","No","6","0.00","0.00","$0.00","0.00","Feb 6, 2025 at 10:51pm EST"
"trade","KXSBSETLISTS-25-A","10","No","83","0.00","0.00","$0.00","$0.10","Feb 6, 2025 at 11:00pm EST"
"trade","KXSBSETLISTS-25-MC","10","No","87","0.00","0.00","$0.00","$0.08","Feb 6, 2025 at 11:02pm EST"
"trade","KXSBSETLISTS-25-A","100","No","83","0.00","0.00","$0.00","$0.99","Feb 6, 2025 at 11:04pm EST"
"trade","KXSBSETLISTS-25-MC","40","No","87","0.00","0.00","$0.00","$0.32","Feb 6, 2025 at 11:06pm EST"
"trade","KXSBSETLISTS-25-MC","30","No","87","0.00","0.00","$0.00","$0.24","Feb 6, 2025 at 11:06pm EST"
"trade","KXSBSETLISTS-25-H","100","Yes","91","$100.00","$97.00","+$3.00","0.00","Feb 6, 2025 at 11:12pm EST"
"trade","KXSBSETLISTS-25-A","40","No","79","0.00","0.00","$0.00","0.00","Feb 7, 2025 at 12:06am EST"
"trade","KXSBSETLISTS-25-MC","20","No","78","0.00","0.00","$0.00","0.00","Feb 7, 2025 at 12:23am EST"
"trade","KXSBSETLISTS-25-MC","10","No","79","0.00","0.00","$0.00","0.00","Feb 7, 2025 at 12:41am EST"
"trade","KXSBSETLISTS-25-MC","40","No","77","0.00","0.00","$0.00","0.00","Feb 7, 2025 at 12:44am EST"
"trade","KXSBSETLISTS-25-MC","25","No","77","0.00","0.00","$0.00","0.00","Feb 7, 2025 at 1:27am EST"
"trade","KXSBSETLISTS-25-A","20","Yes","14","$20.00","$19.40","+$0.60","0.00","Feb 7, 2025 at 2:38am EST"
"trade","KXSBSETLISTS-25-A","70","Yes","15","$70.00","$68.60","+$1.40","0.00","Feb 7, 2025 at 2:50am EST"
"trade","KXSBSETLISTS-25-MC","3","No","81","0.00","0.00","$0.00","$0.04","Feb 7, 2025 at 11:20am EST"
"trade","KXSBSETLISTS-25-MC","18","No","82","0.00","0.00","$0.00","$0.19","Feb 7, 2025 at 11:20am EST"
"trade","KXSBSETLISTS-25-MC","3","No","85","0.00","0.00","$0.00","$0.03","Feb 7, 2025 at 11:20am EST"
"trade","KXSBSETLISTS-25-MC","28","No","80","0.00","0.00","$0.00","$0.32","Feb 7, 2025 at 11:20am EST"
"trade","KXSBSETLISTS-25-MC","4","No","80","0.00","0.00","$0.00","$0.05","Feb 7, 2025 at 11:20am EST"
"trade","KXSBSETLISTS-25-MC","7","No","83","0.00","0.00","$0.00","0.00","Feb 7, 2025 at 11:23am EST"
"trade","KXSBSETLISTS-25-MC","2","No","80","0.00","0.00","$0.00","0.00","Feb 7, 2025 at 11:23am EST"
"trade","KXSBSETLISTS-25-MC","5","No","82","0.00","0.00","$0.00","0.00","Feb 7, 2025 at 11:23am EST"
"trade","KXSBSETLISTS-25-MC","5","No","81","0.00","0.00","$0.00","0.00","Feb 7, 2025 at 11:23am EST"
"trade","KXSBSETLISTS-25-MC","14","No","79","0.00","0.00","$0.00","0.00","Feb 7, 2025 at 11:49am EST"
"trade","KXSBSETLISTS-25-MC","100","No","78","0.00","0.00","$0.00","0.00","Feb 7, 2025 at 12:21pm EST"
"trade","KXSBSETLISTS-25-A","29","No","77","0.00","0.00","$0.00","0.00","Feb 7, 2025 at 12:48pm EST"
"trade","KXMARMAD-25-IOST","10","Yes","5","$10.00","$10.00","$0.00","0.00","Feb 7, 2025 at 4:33pm EST"
"trade","KXSBSETLISTS-25-A","75","Yes","17","$75.00","$72.50","+$2.50","0.00","Feb 7, 2025 at 7:39pm EST"
"trade","KXSBSETLISTS-25-A","12","Yes","17","$12.00","$11.28","+$0.72","0.00","Feb 7, 2025 at 8:11pm EST"
"trade","KXSBSETLISTS-25-A","2","Yes","19","$2.00","$1.92","+$0.08","0.00","Feb 7, 2025 at 10:30pm EST"
"trade","KXSBSETLISTS-25-MC","93","No","68","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 12:16am EST"
"trade","KXSBSETLISTS-25-MC","30","No","66","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 12:42am EST"
"trade","KXMARMAD-25-STJ","4","No","97","$4.00","$4.00","$0.00","$0.01","Feb 8, 2025 at 12:44pm EST"
"trade","KXSBSETLISTS-25-MC","45","Yes","27","$45.00","$51.30","-$6.30","0.00","Feb 8, 2025 at 1:10pm EST"
"trade","KXSBSETLISTS-25-MC","84","Yes","27","$84.00","$91.26","-$7.26","0.00","Feb 8, 2025 at 2:25pm EST"
"trade","KXSBSETLISTS-25-MC","135","No","60","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 3:02pm EST"
"trade","KXSBSETLISTS-25-MC","23","No","60","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 3:05pm EST"
"trade","KXSBSETLISTS-25-MC","22","Yes","27","$22.00","$22.88","-$0.88","0.00","Feb 8, 2025 at 4:36pm EST"
"trade","KXSBSETLISTS-25-MC","29","Yes","27","$29.00","$30.38","-$1.38","0.00","Feb 8, 2025 at 4:54pm EST"
"trade","KXSBSETLISTS-25-MC","224","Yes","27","$224.00","$233.57","-$9.57","0.00","Feb 8, 2025 at 6:38pm EST"
"trade","KXSBSETLISTS-25-MC","20","No","68","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 6:39pm EST"
"trade","KXSBSETLISTS-25-MC","27","No","69","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 6:39pm EST"
"trade","KXSBSETLISTS-25-MC","5","Yes","27","$5.00","$4.75","+$0.25","0.00","Feb 8, 2025 at 6:39pm EST"
"trade","KXSBSETLISTS-25-MC","93","No","67","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 6:41pm EST"
"trade","KXSBSETLISTS-25-MC","9","No","66","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 6:45pm EST"
"trade","KXSBSETLISTS-25-MC","30","No","66","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 6:53pm EST"
"trade","KXSBSETLISTS-25-MC","15","No","66","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 6:55pm EST"
"trade","KXSBSETLISTS-25-MC","1","No","66","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 7:11pm EST"
"trade","KXSBSETLISTS-25-MC","5","No","66","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 7:11pm EST"
"trade","KXSBSETLISTS-25-MC","40","No","66","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 7:13pm EST"
"trade","KXSBSETLISTS-25-MC","69","No","61","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 7:19pm EST"
"trade","KXSBSETLISTS-25-MC","283","Yes","31","$283.00","$267.20","+$15.80","0.00","Feb 8, 2025 at 7:45pm EST"
"trade","KXSBSETLISTS-25-MC","138","Yes","31","$138.00","$134.79","+$3.21","0.00","Feb 8, 2025 at 8:11pm EST"
"trade","KXSBSETLISTS-25-MC","113","Yes","31","$113.00","$106.71","+$6.29","0.00","Feb 8, 2025 at 8:26pm EST"
"trade","KXSBSETLISTS-25-MC","11","Yes","31","$11.00","$10.12","+$0.88","0.00","Feb 8, 2025 at 8:35pm EST"
"trade","KXSBSETLISTS-25-MC","70","No","70","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 8:42pm EST"
"trade","KXSBSETLISTS-25-MC","70","Yes","28","$70.00","$68.60","+$1.40","$0.99","Feb 8, 2025 at 8:47pm EST"
"trade","KXSBADS-25-CB","94","Yes","30","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 9:43pm EST"
"trade","KXSBSETLISTS-25-MC","30","No","69","0.00","0.00","$0.00","0.00","Feb 8, 2025 at 10:16pm EST"
"trade","KXSBADS-25-CB","94","No","66","$94.00","$90.24","+$3.76","0.00","Feb 9, 2025 at 12:13am EST"
"trade","KXMARMAD-25-TN","207","Yes","6","0.00","0.00","$0.00","$0.82","Feb 9, 2025 at 12:26am EST"
"trade","KXMARMAD-25-TN","126","Yes","6","0.00","0.00","$0.00","$0.50","Feb 9, 2025 at 12:26am EST"
"trade","KXSBSETLISTS-25-A","57","No","70","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 12:45am EST"
"trade","KXSBSETLISTS-25-MC","47","No","67","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 1:40am EST"
"trade","KXSBSETLISTS-25-MC","9","No","63","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 1:54am EST"
"trade","KXSBSETLISTS-25-A","50","No","55","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 1:56am EST"
"trade","KXSBSETLISTS-25-MC","41","No","63","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 2:10am EST"
"trade","KXSBSETLISTS-25-A","29","No","53","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 2:16am EST"
"trade","KXSBSETLISTS-25-MC","22","No","57","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 2:17am EST"
"trade","KXSBSETLISTS-25-A","21","No","53","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 2:34am EST"
"trade","KXSBSETLISTS-25-A","3","No","51","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 2:57am EST"
"trade","KXSBSETLISTS-25-A","10","No","51","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 2:57am EST"
"trade","KXSBSETLISTS-25-A","7","No","51","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 2:58am EST"
"trade","KXSBSETLISTS-25-MC","86","Yes","30","$86.00","$83.66","+$2.34","0.00","Feb 9, 2025 at 8:05am EST"
"trade","KXSBSETLISTS-25-MC","20","No","56","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 8:30am EST"
"trade","KXSBSETLISTS-25-A","74","Yes","35","$74.00","$75.15","-$1.15","$1.18","Feb 9, 2025 at 2:04pm EST"
"trade","KXSBSETLISTS-25-A","26","Yes","35","$26.00","$23.40","+$2.60","0.00","Feb 9, 2025 at 2:04pm EST"
"trade","KXSBSETLISTS-25-A","44","Yes","30","$44.00","$36.66","+$7.34","$0.65","Feb 9, 2025 at 2:06pm EST"
"trade","KXSBSETLISTS-25-A","33","Yes","30","$33.00","$26.99","+$6.01","$0.49","Feb 9, 2025 at 2:06pm EST"
"trade","KXSBSETLISTS-25-A","5","No","65","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 2:40pm EST"
"trade","KXSBSETLISTS-25-A","50","No","65","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 2:40pm EST"
"trade","KXSBSETLISTS-25-A","27","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 3:14pm EST"
"trade","KXSBSETLISTS-25-A","14","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 3:17pm EST"
"trade","KXSBSETLISTS-25-A","15","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 3:17pm EST"
"trade","KXSBSETLISTS-25-A","19","Yes","33","$19.00","$18.62","+$0.38","0.00","Feb 9, 2025 at 3:22pm EST"
"trade","KXSBSETLISTS-25-A","42","Yes","33","$42.00","$41.22","+$0.78","0.00","Feb 9, 2025 at 3:24pm EST"
"trade","KXSBSETLISTS-25-A","50","Yes","29","$50.00","$47.50","+$2.50","$0.73","Feb 9, 2025 at 3:27pm EST"
"trade","KXSBSETLISTS-25-MC","28","Yes","24","$28.00","$24.36","+$3.64","0.00","Feb 9, 2025 at 3:35pm EST"
"trade","KXSBSETLISTS-25-MC","55","Yes","25","$55.00","$45.68","+$9.32","0.00","Feb 9, 2025 at 4:09pm EST"
"trade","KXSBSETLISTS-25-MC","2","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 4:33pm EST"
"trade","KXSBSETLISTS-25-MC","5","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 4:35pm EST"
"trade","KXSBSETLISTS-25-MC","10","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 4:35pm EST"
"trade","KXSBSETLISTS-25-MC","5","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 4:36pm EST"
"trade","KXSBSETLISTS-25-MC","14","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 4:38pm EST"
"trade","KXSBSETLISTS-25-MC","14","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 4:39pm EST"
"trade","KXSBSETLISTS-25-MC","9","No","64","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 4:58pm EST"
"trade","KXSBSETLISTS-25-MC","41","No","64","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 4:59pm EST"
"trade","KXSBSETLISTS-25-MC","50","No","63","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 5:03pm EST"
"trade","KXSBSETLISTS-25-MC","100","Yes","31","$100.00","$96.00","+$4.00","0.00","Feb 9, 2025 at 5:06pm EST"
"trade","KXSBSETLISTS-25-MC","50","No","63","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 5:08pm EST"
"trade","KXSBSETLISTS-25-MC","50","No","63","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 5:09pm EST"
"trade","KXSBSETLISTS-25-MC","150","Yes","34","$150.00","$145.50","+$4.50","0.00","Feb 9, 2025 at 5:32pm EST"
"trade","KXSBSETLISTS-25-MC","50","No","67","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 5:44pm EST"
"trade","KXSBSETLISTS-25-MC","50","Yes","28","$50.00","$47.50","+$2.50","0.00","Feb 9, 2025 at 5:50pm EST"
"trade","KXSBSETLISTS-25-MC","26","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:04pm EST"
"trade","KXSBSETLISTS-25-MC","24","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:10pm EST"
"trade","KXSBSETLISTS-25-MC","50","Yes","30","$50.00","$48.00","+$2.00","0.00","Feb 9, 2025 at 6:14pm EST"
"trade","KXSBSETLISTS-25-MC","41","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:20pm EST"
"trade","KXSBSETLISTS-25-MC","5","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:21pm EST"
"trade","KXSBSETLISTS-25-MC","24","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:21pm EST"
"trade","KXSBSETLISTS-25-MC","70","Yes","29","$70.00","$66.50","+$3.50","0.00","Feb 9, 2025 at 6:22pm EST"
"trade","KXSBSETLISTS-25-MC","20","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:23pm EST"
"trade","KXSBSETLISTS-25-MC","26","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:24pm EST"
"trade","KXSBSETLISTS-25-MC","4","No","66","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:26pm EST"
"trade","KXSBSETLISTS-25-MC","19","No","65","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:26pm EST"
"trade","KXSBSETLISTS-25-MC","81","No","65","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:27pm EST"
"trade","KXSBSETLISTS-25-MC","25","No","62","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:28pm EST"
"trade","KXSBSETLISTS-25-MC","2","No","62","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:28pm EST"
"trade","KXSBSETLISTS-25-MC","3","No","62","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:28pm EST"
"trade","KXSBSETLISTS-25-MC","52","No","62","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:29pm EST"
"trade","KXSBSETLISTS-25-MC","20","No","62","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:29pm EST"
"trade","KXSBSETLISTS-25-MC","25","No","62","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:29pm EST"
"trade","KXSBSETLISTS-25-MC","23","No","62","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:29pm EST"
"trade","KXSBSETLISTS-25-MC","88","Yes","31","$88.00","$84.98","+$3.02","0.00","Feb 9, 2025 at 6:32pm EST"
"trade","KXSBSETLISTS-25-MC","62","Yes","31","$62.00","$59.52","+$2.48","0.00","Feb 9, 2025 at 6:34pm EST"
"trade","KXSBSETLISTS-25-MC","25","No","63","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:41pm EST"
"trade","KXSBSETLISTS-25-MC","25","No","63","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 6:41pm EST"
"trade","KXSBSETLISTS-25-MC","22","Yes","34","$22.00","$21.12","+$0.88","0.00","Feb 9, 2025 at 7:00pm EST"
"trade","KXSBSETLISTS-25-MC","128","Yes","34","$128.00","$122.88","+$5.12","0.00","Feb 9, 2025 at 7:06pm EST"
"trade","KXSB-25-KC","30","Yes","36","0.00","0.00","$0.00","$0.49","Feb 9, 2025 at 7:11pm EST"
"trade","KXSB-25-KC","40","Yes","34","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 7:15pm EST"
"trade","KXSBSETLISTS-25-MC","50","Yes","35","$50.00","$49.00","+$1.00","0.00","Feb 9, 2025 at 7:15pm EST"
"trade","KXSB-25-KC","50","Yes","32","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 7:16pm EST"
"trade","KXSB-25-PHI","3","Yes","68","0.00","0.00","$0.00","$0.05","Feb 9, 2025 at 7:17pm EST"
"trade","KXSB-25-PHI","47","Yes","68","0.00","0.00","$0.00","$0.72","Feb 9, 2025 at 7:17pm EST"
"trade","KXSB-25-PHI","7","No","31","$7.00","$6.93","+$0.07","0.00","Feb 9, 2025 at 7:19pm EST"
"trade","KXSB-25-PHI","41","No","31","$41.00","$40.59","+$0.41","0.00","Feb 9, 2025 at 7:19pm EST"
"trade","KXSB-25-PHI","2","No","31","$2.00","$1.98","+$0.02","0.00","Feb 9, 2025 at 7:19pm EST"
"trade","KXSBSETLISTS-25-MC","50","No","62","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 7:19pm EST"
"trade","KXSBSETLISTS-25-MC","47","No","60","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 7:20pm EST"
"trade","KXSBSETLISTS-25-MC","3","No","60","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 7:20pm EST"
"trade","KXSBSETLISTS-25-MC","11","No","59","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 7:21pm EST"
"trade","KXSBSETLISTS-25-MC","39","No","59","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 7:21pm EST"
"trade","KXSBSETLISTS-25-MC","100","Yes","36","$100.00","$97.00","+$3.00","0.00","Feb 9, 2025 at 7:26pm EST"
"trade","KXSB-25-KC","120","No","64","$120.00","$117.20","+$2.80","$1.94","Feb 9, 2025 at 7:29pm EST"
"trade","KXSB-25-PHI","50","Yes","63","0.00","0.00","$0.00","$0.82","Feb 9, 2025 at 7:31pm EST"
"trade","KXSB-25-PHI","50","No","26","$50.00","$44.50","+$5.50","0.00","Feb 9, 2025 at 7:43pm EST"
"trade","KXSB-25-KC","50","No","76","0.00","0.00","$0.00","$0.64","Feb 9, 2025 at 7:46pm EST"
"trade","KXSB-25-KC","50","Yes","23","$50.00","$49.50","+$0.50","0.00","Feb 9, 2025 at 7:49pm EST"
"trade","KXSBSETLISTS-25-MC","50","No","58","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 7:52pm EST"
"trade","KXSBSETLISTS-25-MC","50","Yes","39","$50.00","$49.00","+$1.00","0.00","Feb 9, 2025 at 8:01pm EST"
"trade","KXSBSETLISTS-25-MC","3","Yes","39","$3.00","$2.91","+$0.09","0.00","Feb 9, 2025 at 8:01pm EST"
"trade","KXSBSETLISTS-25-MC","20","No","54","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 8:03pm EST"
"trade","KXSBSETLISTS-25-NLU","10","Yes","92","0.00","0.00","$0.00","$0.06","Feb 9, 2025 at 8:03pm EST"
"trade","KXSBSETLISTS-25-MC","30","No","54","0.00","0.00","$0.00","0.00","Feb 9, 2025 at 8:03pm EST"
